day,name,address,city,codes,map,
"Friday, 	12:30 PM",DISCUSSION GROUP,Library Palmetto & Hilton (street parking only),Pacifica,"D,H",http://goo.gl/maps/C0m1O,
"Sunday, 	6:00 PM",PAGE 133 GROUP,Library Palmetto & Hilton (street parking only),Pacifica,"D,H",http://goo.gl/maps/C0m1O,
"Sunday, 	4:00 PM",SUN AFTERNOON STEP STUDY,Library Palmetto & Hilton (street parking only),Pacifica,"C,L",http://goo.gl/maps/C0m1O,
"Wednesday, 	12:00 PM",PACIFICA DISCUSSION,Library	Palmetto & Hilton (street parking only),Pacifica,"D,H,Wh",http://goo.gl/maps/C0m1O,
"Monday, 	12:00 PM",PACIFICA DISCUSSION,Library Palmetto & Hilton (street parking only),Pacifica,"C,D,H",http://goo.gl/maps/C0m1O,
"Wednesday, 	7:00 PM",PACIFICA COASTSIDE GROUP,Linda Mar School	On Rosita Drive- between Peralta & Adobe,Pacifica,"H,SP,Wh",http://goo.gl/maps/fWLrd,
"Monday, 	8:00 PM",COASTSIDE Big Book Study,Lutheran Church	900 N. Cabrillo Hwy.,Half Moon Bay ,"H,L,Wh",http://goo.gl/maps/U3t63,
"Saturday, 	7:30 AM",SATURDAY MORNING EYE OPENER,Lutheran Church	900 N. Cabrillo Hwy.,Half Moon Bay ,,http://goo.gl/maps/U3t63,
"Monday, 	12:00 PM",LUNCH BUNCH,Martin Luther King Ctr.	725 Monte Diablo,San Mateo,H,http://goo.gl/maps/gvInF,
"Friday, 	6:30 PM",YP Traveling Meeting,Meet at Starbucks	 17th & El Camino,San Mateo,YP,http://goo.gl/maps/bcs3x,
"Thursday, 	10:00 AM",WOMEN’S HOME GROUP,Meeting rotates- for location call: 577-1310 - Meeting rotates -- for location call: 577-1310,Mid-Peninsula,"C,W,",,
"Monday, 	5:00 PM",HAPPY HOUR GROUP,Methodist Church	560 El Camino- ent. Rear,San Bruno ,"D,H,SP,",http://goo.gl/maps/BFE2J,
"Tuesday, 	5:00 PM",LIVING SOBER/HAPPY HOUR,Methodist Church	560 El Camino- ent. Rear,San Bruno ,"H,L",http://goo.gl/maps/BFE2J,
"Friday, 	5:00 PM",Big Book Study,Methodist Church	560 El Camino-ent. Rear,San Bruno ,L,http://goo.gl/maps/BFE2J,
"Thursday, 	5:00 PM",TWELVE STEP STUDY GRP,Methodist Church	560 El Camino-ent. Rear,San Bruno ,,http://goo.gl/maps/BFE2J,
"Sunday, 	7:30 PM",COASTSIDE TALKERS,Methodist Church	777 Miramontes,Half Moon Bay ,,http://goo.gl/maps/LWpVR,
"Tuesday, 	6:00 PM",WOMENS 12 STEP STUDY,"Methodist Church	777 Miramontes, 2nd floor in San Pedro Ridge Room",Half Moon Bay ,"W,L",http://goo.gl/maps/LWpVR,
"Wednesday, 	5:00 PM",EXPERIENCE-STRENGTH-HOPE,Methodist Church  560 El Camino-enter rear,San Bruno ,"H,L",http://goo.gl/maps/BFE2J,
"Saturday, 	8:00 PM",SAT NITE 12 STEP STUDY GROUP,Methodist Church (Choir Room) 	777 Miramontes (2nd Floor),Half Moon Bay ,L,http://goo.gl/maps/LWpVR,
"Thursday, 	7:30 PM",GET IT STARTED GROUP,Millbrae Parks & Rec.	477 Lincoln Circle,Millbrae,"D,H,SP,",http://goo.gl/maps/ljgXK,
"Saturday, 	7:30 PM",Conscious Contact Group,Mills Health Center	100 S. San Mateo Dr.lower level in Saidy Room,San Mateo,,http://goo.gl/maps/1rMDe,
"Sunday, 	10:00 AM",Sunday Serenity,Mills Health Center	100 S. San Mateo Dr.lower level in Saidy Room,San Mateo,"H,Wh",http://goo.gl/maps/1rMDe,
"Tuesday, 	8:00 PM",SAN MATEO GROUP. NO 1,"Mills Health Center	100 S. San Mateo Drive, Sadie Room",San Mateo,"D,H,SP,",http://goo.gl/maps/1rMDe,
"Wednesday, 	7:30 PM",HILLSBOROUGH GROUP-new location Eff. 7/3,Mills Health Center  100 S. San Mateo Dr.lower level in Saidy Room,San Mateo,"H,Wh",http://goo.gl/maps/1rMDe,
"Wednesday, 	4:30 PM",RESTORED TO SANITY,Mills Hospital  100 San Mateo Drive (Sadie Thompson Room in basement),San Mateo,H,http://goo.gl/maps/1rMDe,
"Sunday, 	5:00 PM",CELEBRATE BEING ALIVE (Step Study),"Mills Hospital (Sadie Rm. In basement) 100 S. San Mateo Drive, Sadie Room",San Mateo,"C,W,D,H,L",http://goo.gl/maps/1rMDe,
"Saturday, 11:00 AM",GRASS ROOTS GROUP - Breakfast 9 AM-Meeting 11 AM,Native Sons Hall  112 Stage Rd,Pescadero,"H,SP,",http://goo.gl/maps/SiwBM, 1st Saturday of Month only
"Monday, 	2:30 PM",PRICE OF FREEDOM GROUP,"NEW 540 Price Ave., 1st floor (closed on State Holidays)",Redwood City,"H,B,",http://goo.gl/maps/Bcozw,
"Monday, 	8:00 PM",12 STEPS STUDY GROUP,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"H,L",http://goo.gl/maps/POKC9,
"Wednesday, 	8:30 PM",BROAD HIGHWAY-BB STUDY,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"H,L",http://goo.gl/maps/POKC9,
"Thursday, 	7:30 PM",HILLSBOROUGH MEN'S GROUP,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"C,H",http://goo.gl/maps/POKC9,
"Wednesday, 	12:00 PM",SENIOR FOCUS,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"D,H,SP,Wh",http://goo.gl/maps/POKC9,
